match_id,participant_id,teamId,puuid,champion,lane,win,gold_10,xp_10,cs_10,goldEarned,gold_diff_@10min
KR_7574692983,8,200,5pLgS5u_kXQuod3DxAl20dGBQP5TSGaEJS7yc27ihuvge767c_DPhV94s3d9AK9abNlImL3jPetFYA,Smolder,MIDDLE,0,3007,3861,58,9828,-1899
KR_7574692983,9,200,XV2etxemNLIim89RPKUCyS8uK9m0l0GHBNjSTE5CP8RAVv24wNuZa1HdpbTmyGAk4_ujFs91hl1o8A,Zeri,BOTTOM,0,3052,3147,63,12588,-1899
KR_7574692983,10,200,oJa0xP-0sedZ4Ma7wF-Jt7uuYc7QGZq7NhZSC9NfX-5Mz3cNRUMVUMEzwxw7AajkatA5yHdqdNLUtQ,Leona,UTILITY,0,2625,2034,8,6850,-1899
KR_7574837244,1,100,yQqGVtu0s2OVsZZBGkOfm5aj9orU_D9dzkIjZ4jzaPLUankXS4QIElb_7Wy-jZ9MZX1thgPLoop7Mg,Sett,TOP,1,3380,4024,57,10473,3411
KR_7574837244,2,100,Zhqh-BCYW1GA7KXccPHmZ83u_JOIJDSruB0CbG9UgaBL9ecdNLcdYzjyM27BXV99dRPFjKTmKXXNeg,Naafiri,JUNGLE,1,4435,3269,56,14222,3411
KR_7574837244,3,100,jBA0fZaqQpvhbtX9vkyIoWD3WhGTm39l8YzprvhxhVdbzW9qLCQHMPnL_6-G2y_Y-Fl4DDhpFYHIqQ,Irelia,MIDDLE,1,4054,4067,80,11590,3411
KR_7574837244,4,100,7OSmgO2-45u_8AK-JSBfL3rrQeUuyCRDTHn_LvFM90hRL03P4AwxW9zDZC1XO41UqI5-RnuPNAf8Qw,Xerath,BOTTOM,1,3358,3679,63,11125,3411
KR_7574837244,5,100,tAwrryzgcvdHdG7sKkEYn_48IY7e6WVON-BfZF-yKjYcLTyE48Cw2RRj7pDN0OsDI8_Dtbak5hO7pg,Senna,UTILITY,1,3403,2307,7,9670,3411
KR_7574837244,6,200,dTqNFjkLpsSkQFJp64b-RYe7pLQ3pj6APh3DUNZayKFE4Ev_fHGHohu-FnvYC-CURXwp_zgbgx8ebw,Jax,TOP,0,3464,3470,51,8812,-3411
KR_7574837244,7,200,cZfP-kZMLAufG07RFWBTCk6GUUAIcCQocatpNifhEy0CUHdoN3NR3jQDuLHJsbAimXLaQKQk41ieNQ,Gwen,JUNGLE,0,3369,3834,70,13455,-3411
KR_7574837244,8,200,7INbcIEExThYp9fTGNn5ShMmI9840hJM__ic6JwqrDVsRc-3RrRU0aU_KPJGmm9YY_7H6Xkgds_-KA,Zed,MIDDLE,0,3404,3875,54,9398,-3411
KR_7574837244,9,200,fu1OnaRs-vIMrXcq3r14GlNmSKAvJPNDkFFBYmjvY5jH51V-DyU-plXcAcaeXsstvYXw6PVsY2zRTg,Varus,BOTTOM,0,2463,2510,47,8444,-3411
KR_7574837244,10,200,DaE_lGbgl81kYE9f2_2aMM2KQt61NVg5Pmg3xcYVIKgP6gPzXqcpXxvIxtdO6pkG6aL84k50q7LosQ,Karma,UTILITY,0,2519,2052,13,6508,-3411
KR_7574965822,1,100,I0_WNeTJcJixJRDeLvT_HdxFXhYTaOXoBMqCkyA-1PWydp5-6ljF7NkZa8uAD5RmQRiJt0KrmSwSLQ,Heimerdinger,TOP,0,3331,4475,79,10440,2451
KR_7574965822,2,100,SW-d-OWnYifXRrifVioHx1O1qZVwvVZcNMhWmbXUNtLO4sQjVSMIt5_ATSWLUebMW8zr8mwWIRElWg,Ivern,JUNGLE,0,3583,2901,52,9123,2451
KR_7574965822,3,100,XV-BDu2dOKVn-WRQlmrM-uZARI3cZTb4YUUHiNemOwnAIqJ7dqeMltmHymXqY3AZUTo5_JbBQljSmw,Yone,MIDDLE,0,3658,3585,56,9482,2451
KR_7574965822,4,100,6r571uB-kh7FHoG0z3PLTmhUI8KSaRnB2PrBbdbWBb1p951c0Axrin7si2W3ArdhnLh3VbmQJ6jSTg,Corki,BOTTOM,0,4195,3538,73,13206,2451
KR_7574965822,5,100,Wa2JN43wv0xLwTPy7iuekYiLIeqJ8BmLrFmiMn_TQTdBjbE0b1nA821JipG-OLeDx75QuSRR0Sh4Bw,Soraka,UTILITY,0,2889,1618,5,7866,2451
KR_7574965822,6,200,V4SWotri1hzhCevpTO-pH2zZ66ad9w9C9mnXAbRDtIeEv9EzYSZzkI4q5RqZjKWOSfcu_Ch3vgaZbA,Teemo,TOP,1,3099,4050,69,11196,-2451
KR_7574965822,7,200,SfZfSidvBdad7m_KrXHro232q5VtK2QnnFn4HuideJVRO--0jOD9y-iwOCqXT02POYofADWbvurxxg,Naafiri,JUNGLE,1,3584,2926,49,14369,-2451
KR_7574965822,8,200,2U7M9XDUOeG2NQjP5Xiwv6PxYdiRM0TNZU9Dop0XxuVjX7fYYZI0S5BpJ8UgR4uBRKO-fQAD7huCTA,Sylas,MIDDLE,1,3532,3975,57,11740,-2451
KR_7574965822,9,200,ZzDBEgoAeGsGwRR22CX54gfSKlFs4GsOz00bii0R-eN90UFx0KuDr92a1SjizlyOLqARlHGESMEiDA,Tristana,BOTTOM,1,2882,2894,44,13822,-2451
KR_7574965822,10,200,J_f5T3K0utzWMxdhCdeGHU-U7AEfF3W9DBET2gA_Vyrk-9pUWfYeBpMCTb2US4TxI1Cfw5SWudtHRg,Neeko,UTILITY,1,2108,1419,13,8377,-2451
KR_7575104521,1,100,cTeVTiAx6G2WU1bZ7Go0U6YYB2DMud41PIBeEzAXMQ_k3Q78BMnZLKIPjU3i7s6glPiiyFqruXR0KA,Darius,TOP,0,3018,4021,68,12003,-1687
KR_7575104521,2,100,H2WsjmGyeHwFby_g36tkuRh6BZlfDXgKDjM1XwPIi0YPCnXAOSCa23mKapkQWCV9pZa0NACq7BBe3A,Taliyah,JUNGLE,0,2726,2757,49,14078,-1687
KR_7575104521,3,100,_2gy_DC46aRGaj02qVS4G6kbPavUSh8Sn3pwDFx-ww2bLq4f-g_5vFY1iFrAsDwciaOJlU4qab90Xg,Irelia,MIDDLE,0,3180,3941,71,15148,-1687
KR_7575104521,4,100,tAwrryzgcvdHdG7sKkEYn_48IY7e6WVON-BfZF-yKjYcLTyE48Cw2RRj7pDN0OsDI8_Dtbak5hO7pg,Corki,BOTTOM,0,3271,2539,53,12254,-1687
KR_7575104521,5,100,J_f5T3K0utzWMxdhCdeGHU-U7AEfF3W9DBET2gA_Vyrk-9pUWfYeBpMCTb2US4TxI1Cfw5SWudtHRg,Neeko,UTILITY,0,2286,2514,12,8536,-1687
KR_7575104521,6,200,NAXF0GYCJjOx3UD6_jC76PbaxQTjbacO1XuAHDgXycREj4yKfPGFdDWh1WfoDQNroeMkRIFuLFwJ_Q,Ambessa,TOP,1,2570,3653,60,11915,1687
KR_7575104521,7,200,xNWix_PWXYrjrSIQwoRlLeYyekW140nGjn5_JGQAlmVoCmF4hieqZnd9UBTcrelkRhMwBBocDshMSQ,Rengar,JUNGLE,1,4121,3947,68,16649,1687
KR_7575104521,8,200,7SLto2ICAtmuNjC0Ug86-krsMRdTMplkRO-oKZlfCxilJzO5EpOWHpdpGOG4cwd19ySaCmhEaSifzA,Aurora,MIDDLE,1,3404,4060,66,12307,1687
KR_7575104521,9,200,O8F-rTXvkSvIVAY_pLGrZf3hxtIJQ6_ZArN68bOWlnNsYnb3khmxGhJB_fCd22oFAzfq3MXyX-1Jbw,MissFortune,BOTTOM,1,3718,2856,77,16325,1687
KR_7575104521,10,200,sVibx8_rL19c4hFbSohyJ3CA8yMNIungi5tPi_xpCVvl7O4O-oyo6kzy_swYbL_Wy4wuh01qi4poXQ,Karma,UTILITY,1,2355,2894,21,9163,1687
KR_7575326298,1,100,3V1tRKF-HH6p2VsYYcGoCgnfg81YSfVDxGOrbAD1M_nb0U6uaZuBsVWw7LBp9jSRp6hCQDT_h6SSWA,Fiora,TOP,0,3555,3652,55,20683,1654
KR_7575326298,2,100,KHj8Z35xdBKjpfjckPKu8h6Ad_S_Wd_qrB78bRYeF8fKzi0JHvvRuT-ZOLjPIv4Vn3x7nmGuUdiL8A,Lillia,JUNGLE,0,4049,2944,46,17499,1654
KR_7575326298,3,100,Jp1U9jN8WfF_2heEwLSVyqcao_4MNJAdX2wvgVJZAlf5X0t07xzsn-fSB17-wzScIkuKnQRJ0EdDJA,Qiyana,MIDDLE,0,3436,3924,62,14384,1654
KR_7575326298,4,100,wgJc181hwU1RwG2u9BALq_9M0gfqwRSdZpkZf09A-mj13P9M8T097Nxiwj8wh33CvMa4W-JQAE12xA,Ezreal,BOTTOM,0,2802,3220,66,18372,1654
KR_7575326298,5,100,77f65m-oV2o8B9oMkBotv30myVk4YASVNBDPY8-9brJY4jYHBPfvjb9zhpkkX53iAKvl1y--O3utLA,Leona,UTILITY,0,3237,1457,6,11358,1654
KR_7575326298,6,200,1jrn3p7euGPmH5s2x8IFTtzmdXBnA_qa0qeOfiLOrFQfh6yx63x5rZZ67pHD7ehaEF3wiAmFGbHNGQ,Gwen,TOP,1,2764,3810,61,20051,-1654
KR_7575326298,7,200,SW-d-OWnYifXRrifVioHx1O1qZVwvVZcNMhWmbXUNtLO4sQjVSMIt5_ATSWLUebMW8zr8mwWIRElWg,Ivern,JUNGLE,1,2984,2888,57,14070,-1654
KR_7575326298,8,200,5AoxW4S89_BDoMa7V2lW7vOiO9uoQE08KuYBl6ZynLhSIJ5S6jUpxBTOxAJcdv5lfwJt2gz_pmHNww,Yasuo,MIDDLE,1,3742,3403,60,18863,-1654
KR_7575326298,9,200,wpjNtkZCe9N_CaYsQcphpzSNFqOWnX9woboOlqM4SYhXhd0MuCaJDecPn01hp5oRxfdlsAEyoTSEKw,Kaisa,BOTTOM,1,3670,3533,79,22345,-1654
KR_7575326298,10,200,KstbacHwQqHAoVPq57hAU4hL8DT0m3YFmyDvkOSEcMs9js_pPIeLJY-SN7weOcFlcsZcxv-X6fygpA,Alistar,UTILITY,1,2265,1740,11,11544,-1654
KR_7575540080,1,100,a4NyUtjCqsOXKHs2Hb2HvUboTCuxx7G1Uzrkeq_liZBHpDvzSjmieejs0e74sN3j6NSSUdvyW5H-zQ,Rumble,TOP,0,3036,4480,70,14565,1539
KR_7575540080,2,100,D_ogqZdx8VVfKeR76LFNGM_SuU_wbur8XUewCF_j3ppmEXz02mLVnRoU5DVQZKgUlx5jKwX46hD8Tw,Viego,JUNGLE,0,3368,3755,73,15004,1539
KR_7575540080,3,100,AyQ5Q_fGufn69HdWuMy6rEdFF3orL8UuIVgrpHqP2jRZMvg_-_u1au-TRVQl8D9bSsE4FYHEabMoBQ,Taliyah,MIDDLE,0,2822,3613,71,13355,1539
KR_7575540080,4,100,N2KrwW4rZAf-QMl07sl--kbw243akJ8H8lKp37hGHPKY5kj9PtuQNIxPp7WqaTWb9IGiFMkwgEJMtA,Corki,BOTTOM,0,3430,3395,75,16333,1539
KR_7575540080,5,100,TWNouX_o_-_TEnwH3_PXJY_BpnKGVE_Eo5sDxJELtYbYcocmS8T51L-cbtVaPJ1B2f3sLNqVicncoQ,Alistar,UTILITY,0,2220,2432,17,8360,1539
KR_7575540080,6,200,1jrn3p7euGPmH5s2x8IFTtzmdXBnA_qa0qeOfiLOrFQfh6yx63x5rZZ67pHD7ehaEF3wiAmFGbHNGQ,Ambessa,TOP,1,2556,3692,59,14104,-1539
KR_7575540080,7,200,yecFL4-QvIKwDhUdZ-ZOny7dSeClRv35aYTPgNiXbjV7HCJBQX_grXm0mvrbnUlKKA9qZ9qcVH59vQ,Graves,JUNGLE,1,2748,2650,48,13054,-1539
KR_7575540080,8,200,5mHBno_pUqjkdsHnYgQ_Gz_AfHZTx9pvP0WYNglDss6bXRr0POSHtHyddvdiMvIqeOKfjOqvoXZ50A,Azir,MIDDLE,1,3524,4535,74,17446,-1539
KR_7575540080,9,200,CYntBfXJ7jLDGW0J7Le8YRokiUlSZr8V76nUv1njBSUbBLV66wJ6CAFJCnIstOQyk-G9pdtc1cdbMQ,Tristana,BOTTOM,1,2425,2326,50,16845,-1539
KR_7575540080,10,200,BBqWCSQ5oVm4fFc9GoamIDVDvj38ZL9km9iFfSEVTLYEWx12ZZMbza8QP1QG4mPItBum7LK2eMS6_w,Poppy,UTILITY,1,2084,2239,14,9461,-1539
KR_7575633627,1,100,9hmqRemwitzcQFyD-FFnzOHWj4Ovt6oIIQoAfSH3mW3poVoTSolkdKAr9IDO_TgKv_GQl1DRsv5sRQ,Jayce,TOP,1,2717,3631,61,12071,-857
KR_7575633627,2,100,g5Np9PJ49io_MIbasRrBmEyOZv2zW9MisHw6Gj5ncteEei4zynsECmfMZ0e_WxILp7iAeSWccChC6Q,Nidalee,JUNGLE,1,3016,2914,52,12643,-857
KR_7575633627,3,100,X2cGCEEpUU1qb1TewXGEmsgfLMymuuC37LfkCD7b0bvCsyCg97QKNR3wMsXGTLVn17OP_oz0UIBNZw,Sion,MIDDLE,1,2802,4416,71,8359,-857
KR_7575633627,4,100,mJC5deHpenB18-ecI-OBPXEQ1rLXCUl-nT_BzjhPvGPbmA7iXdmf6Kd8zbwuBoqc3-LBuvSQAzvMEw,Corki,BOTTOM,1,3255,3247,50,10743,-857
KR_7575633627,5,100,sZBN6A6BWnYqqk2lSzNn6Eu_VZcNfuCb10oR34itZhW9ZrCJ3tQyMYNPotAG_HDGfR9_ZYjTOOsrKA,Poppy,UTILITY,1,2464,1726,5,7785,-857
KR_7575633627,6,200,v2hqivnktUOEXlaNZPcpdyBZjg1IL1eRaKDp-E8K0tw2hLuwzkStQWFcD-0UrY5ldXupi_OD-2YFnw,Rumble,TOP,0,2770,4164,61,6975,857
KR_7575633627,7,200,hRmWO2CXVkAqXyjYGp8K45AGgpRHVuL3uTNThN3G1FsLtjo-Y-oFmym8s2Rffvfuun2lNlw4LcECew,Vi,JUNGLE,0,2966,2656,48,7302,857
KR_7575633627,8,200,QCprdn3ACVBHssZXtpmz9bjD1jNCE-Y0sIEVRx4owiEfKqQV4kICqhls56fqkw8wWfL8Xo112VUgzQ,Zeri,MIDDLE,0,3222,4536,85,10137,857
KR_7575633627,9,200,M0r0bTCDVkWSJbTu5-rr0tHI7hgusCpYFrA6ZPm7LWe9xbBffATgrAy_4jq3jN2ZDVUEThDGpq6uiw,Jhin,BOTTOM,0,3833,3172,76,9753,857
KR_7575633627,10,200,77f65m-oV2o8B9oMkBotv30myVk4YASVNBDPY8-9brJY4jYHBPfvjb9zhpkkX53iAKvl1y--O3utLA,Maokai,UTILITY,0,2320,1889,11,6833,857
KR_7575698937,1,100,_0WMMg3NGaXMmt2EzGipHy5ug1DCBvT5mwjQPR83S3o74aE1XrQlp0itveLKPzuBYc640We9n8tRAA,Fiora,TOP,1,2663,4266,60,11221,2676
KR_7575698937,2,100,TC9ip57j84E461uMaffxqd873Qq66Y20W_18mCSR3UyXILOUhez9mksReNfYRP-SfQHeKmf5lf2r7w,Vi,JUNGLE,1,4017,3642,65,13284,2676
KR_7575698937,3,100,sJZ4QUwc1RCloS0Bh_kqoqGJlStyaCjOplyuQw98MhUd2Ep1YyKOgm9YCZ_5t-8q9-9SMSwp23SCYA,Ahri,MIDDLE,1,3470,4344,78,10784,2676
KR_7575698937,4,100,l4wTlc9R0tIH4kyYc5dI-N9IT6UiY72sSsHgmjyLt8Swa8VMs675fg3T_PrlqvRCVkN-3VPzFZ065w,Lucian,BOTTOM,1,4176,3218,74,15451,2676
KR_7575698937,5,100,EByZOHo4L-VbADQIDTi5Su90nMI_6WGngyM6705Qrxudtjy3S-7__STX5x4AI1AfcDlGUkH6HX5HlQ,Pantheon,UTILITY,1,3553,2620,10,9759,2676
