match_id,participant_id,teamId,puuid,champion,lane,gold_10_diff,cs_10_diff,lane_cs_10_diff,jungle_cs_10_diff,xp_10_diff,solo_kills_15_diff,team_damage_pct_diff,damage_to_turrets_diff,vision_score_per_min_diff,total_damage_taken_diff,kill_participation_diff,kills_diff
KR_7556833771,2,100,mlm0JtHe6_GkM_q_8zaeoV_JvpSSJFcst4eLsdEKplI7F-XDyQC0Ii1OmA4OPIFIe5SyLg1nGWtLoQ,Pantheon,JUNGLE,6,2,2,-10,-282,0,0.0342495680014159,6892,-0.7362324980797458,3186,-0.11025145067698261,7
KR_7556833771,7,200,yks7d6lFDuqhxy2pfJDriSzGM8id7_7O2RXk7JkBZmMLJJRnAprPFv5Kwh3MafGZAZXW31_9lQB0Tg,Viego,JUNGLE,-6,-2,-2,10,282,0,-0.0342495680014159,-6892,0.7362324980797458,-3186,0.11025145067698261,-7
KR_7556833771,1,100,K0DUV4BpL07rXE0_pgf92mTosl5KSFsznwvgbVdQ-KjlgYyjESeAuqmu9-fgVEDFoiSXysrEAd02AQ,Rumble,TOP,410,4,4,0,563,0,-0.0652405015145062,1705,0.017672612215314354,-10612,-0.25338491295938104,1
KR_7556833771,6,200,yGrbzwT0U55q8EgDMBk_zvle7ALYh-ToZGlAv1S1e_aMfHCc29BsLvjyBAH2WgUuqT79-LW02MeArw,Ambessa,TOP,-410,-4,-4,0,-563,0,0.0652405015145062,-1705,-0.017672612215314354,10612,0.25338491295938104,-1
KR_7556966194,3,100,hAhTbgvNXWI7Nu-Plt4sdH1VNcqdMs9ZlTzSY4Na4IrwOAAi12qlcmGcvvf23ujJlg-BJHo_VkRWtw,Zed,MIDDLE,-2286,46,46,-70,-1310,0,-0.07992164711636512,689,-0.844203000484163,2769,-0.07777777777777772,-8
KR_7556966194,7,200,2ErjjqG1lBFLhhQmHFavGAK8h0qpAu_aDiDSielWCGZi_BAOIJb8daFwrbPzsNpvAnI42CyC7N7lOg,Zyra,MIDDLE,2286,-46,-46,70,1310,0,0.07992164711636512,-689,0.844203000484163,-2769,0.07777777777777772,8
KR_7557102804,2,100,nO1UVYCbtCd33aBKsVx0Ir4Zk8H2Hepip-DWoGxN6Qx0ewtmfUOnswKVkI9BMHNfOSpVvjS9kJzAYg,Ekko,JUNGLE,626,4,4,-13,-400,0,-0.040463303493971925,-745,-0.26262523236583,14266,-0.271978021978022,3
KR_7557102804,7,200,wySJxalkTyZSfx2rYncpZ9uhVSG8mO10Xp3yv85_YjFNfGtWHIZ9N0rTMoe5nHQLae1Kwmy3_yKzuA,Zyra,JUNGLE,-626,-4,-4,13,400,0,0.040463303493971925,745,0.26262523236583,-14266,0.271978021978022,-3
KR_7557246486,1,100,R1R72IQuyhN2nsqFgDyLc_8AVVQAUiUyzFxzP-HnyP7nXaFbKBDdYptl5k2qP_EeEbo9-eBcJ5QECw,Akali,TOP,314,12,12,0,146,0,0.0637388677923979,-3600,0.05458532420003137,3928,0.0,-2
KR_7557246486,6,200,a4NyUtjCqsOXKHs2Hb2HvUboTCuxx7G1Uzrkeq_liZBHpDvzSjmieejs0e74sN3j6NSSUdvyW5H-zQ,Jayce,TOP,-314,-12,-12,0,-146,0,-0.0637388677923979,3600,-0.05458532420003137,-3928,-0.0,2
KR_7557352530,1,100,veVKEoOLFt2owOL4_-Y3BbQh5AOYe0ncC499EsFji_kAfUmLH1s2BUjejqPNdUDwXPaM3TsYmaPd3g,Sett,JUNGLE,276,73,73,-69,1225,0,0.20674744302336062,11306,-0.502680710278111,27023,0.0625,3
