match_id,participant_id,teamId,puuid,champion,lane,Ct_raw,Ct_norm,win
KR_7567737991,6,200,nl_FhUDXDitsdbklbaj57shWYL0gAEZ5p_jpqBmsNkzTvLl725sW0_3eY5_djOn7_pUF382MEgocHA,KSante,TOP,2840.4213871497354,0.4133430918672452,
KR_7567865035,3,100,OOGTjiMZDgaF0NeWGVLEJKlO3X2wMv2Y0-7FHBbBQBOj890fy7bbf2XpVKw2e19yUqIg1dR7dUWx6A,Yasuo,MIDDLE,-5127.798379015469,-0.7462061953353292,
KR_7567865035,8,200,wyyftsgV7NwWSFbuKytF0zJrz_AuJ7580lkahIm-ZzGW28basBEsDav15wnQii3aKt39vgpvDyjN5g,Yone,MIDDLE,5127.798379015469,0.7462061953353292,
KR_7567865035,1,100,QkoBCJqq-q2NVmrdvteVUoH1oGciZ5m5jX7hIexDgxunwt5q37RZFq-HvnNGA9Lk9MvaG-03lqxSsQ,Vladimir,TOP,-2283.043361569374,-0.3322324660021746,
KR_7567865035,6,200,Ja9vRnhWQHxo1Y3Iio4eGOujTIa29LVlW-zRslNVxVehtUzggcf0In_CPGhOw1YT8RLT56o6rA9Svg,Aatrox,TOP,2283.043361569374,0.3322324660021746,
KR_7568010775,9,200,9vwSYFVtryxf7P6DsNM2fx1BHgIL-WY2QbRhLxqx8AYLxBsIn_W9WdH0EkDFAQ2Dpg6E0GlyyzVtgw,Zeri,BOTTOM,-3977.638392140588,-0.5788329009123099,
KR_7568010775,10,200,32nmVwpFUJve_22WLDPjRs_xkDMZzn51Pw9hT4Pvtrd-oSYDMLRJ0pDPr0qVBT65U2bEJAAAQJr5Kw,Poppy,BOTTOM,3977.638392140588,0.5788329009123099,
KR_7568010775,2,100,2ZQAscf5Qsu0gzhb0fcKF_Y4hW-ADYAt-OX8x419DeLPV5tsMPMzfcXVWG93zKPukE4F1yQ-QUVEEg,Rengar,JUNGLE,7815.661311457421,1.1373487138493785,
KR_7568010775,7,200,cYKwCewUyzYIvxuOlFsZhGO2ah9bov7-q2REbCy3-bLqcRSxlaBJLATCOWETHH7AJBa6RxxU8KVPRA,FiddleSticks,JUNGLE,-7815.661311457421,-1.1373487138493785,
KR_7568010775,1,100,MhYmAknWiySJCIJEZ34FGwAUpNkqxgwcXXJPhFGnV04R2cj39lzLpzIm13VCp6IttGmc2GGom-TYJA,KSante,TOP,12723.860747545043,1.8515984866442974,
KR_7568010775,4,100,TgcCM_ehekE5SxEnqrVyC96hJf27vqRDOCpx_wcawkotnb6XMMCuvZWgBcEuGmFD6mw5fgsg46RmUg,Varus,TOP,-12723.860747545043,-1.8515984866442974,
KR_7568184527,2,100,scABA73Q1Ulkz-clRicFSW6h-Z365hhKZnIXQo54xIIbdpCWNr14-MRSXIHtaS0FaZ65nTdKjPTN8Q,Belveth,JUNGLE,3306.3362685637617,0.4811438409046564,
KR_7568184527,7,200,5N_zeavQmnYu0Qk8mhG7fOUOCOqsVMqf1Ug3aKwwADo41CHkmoKjlGc2_spUStSiPh_b1CwgiN9krQ,Naafiri,JUNGLE,-3306.3362685637617,-0.4811438409046564,
KR_7568399962,2,100,RnqQdRtTlLoPyMOkyCKOIFuNl-DgSFHYhydMIPJn4YIP9TGehbTrHk9MzkSyNAWJfKW-MXZxHjSHWw,MonkeyKing,JUNGLE,203.05464668060068,0.029548867592914668,
KR_7568399962,7,200,Ayu8sjOYQQIdxecifbUYnTXmuJ3cYdenODzS_TJ-j2Sm3VD6-l5BxBw-fDihqjb-eYSScbviZ2Cfww,Pantheon,JUNGLE,-203.05464668060068,-0.029548867592914668,
KR_7568399962,3,100,t8stZN6MlhWXjn8dzTh30dWXJlwazGuw32ljuQsmOGrAwxFYdl8crT7iEKTw2ddNJ6hogDQdRv3rdw,Ryze,MIDDLE,6775.090141140487,0.9859229758259358,
KR_7568399962,8,200,UQGNpcx5xuLMeNwPTFMYUr5GlC6K9A4dNLZhKrw1-QQ-DxQ7nhQOtcMbpuulBWwPIUhm4Ds2B9mWkw,Taliyah,MIDDLE,-6775.090141140487,-0.9859229758259358,
KR_7568399962,1,100,XnVweAmRfAmh1QKqCLLqp7kYreoWYkFTMvuyOTQ0_AULfuuiOdRga-6jiH2WsHcZt-PaTQL6DLQL_Q,KSante,TOP,-32780.89675458274,-4.770333472357383,
KR_7568399962,6,200,Ub1VHsM1B0m1ctinxNljs2OZOvOXjP-fyZSQ3KxVgR_U1FnmEC1wzHDCP5JM4Vs6vuavFGta0WvxBw,DrMundo,TOP,32780.89675458274,4.770333472357383,
KR_7568593058,4,100,geV1V2BylR5lucpGNBWOpzZMPhhWzObRJE0et0msQlxYE-40z-4ECaaBhzB60byJyejwejV0w7jXKg,Syndra,MIDDLE,-3010.320474826885,-0.4380671044815732,
KR_7568593058,8,200,2bHDlpSAGOhYQpT6IPkSpJkDa53auTVgJMyWVBWuRBc2yyqjZaSMmfh-Rl6LPWbqirDCTKLFGn_mKA,Zoe,MIDDLE,3010.320474826885,0.4380671044815732,
