match_id,participant_id,puuid,teamId,champion,individualPosition,lane,role,kills,deaths,assists,kda,kill_participation,damage_to_turrets,damage_to_buildings,vision_score_per_min,team_damage_pct,gold_earned,gold_spent,champ_experience,total_damage_taken,gold_10,cs_10,lane_cs_10,jungle_cs_10,xp_10,solo_kills_15,gold_10_diff,cs_10_diff,lane_cs_10_diff,jungle_cs_10_diff,xp_10_diff,solo_kills_15_diff,team_damage_pct_diff,damage_to_turrets_diff,vision_score_per_min_diff,total_damage_taken_diff,kill_participation_diff,kills_diff,win
KR_7589122076,10,1uhnRryFuQCG-R8VkY2ZVqhA0OiWsVBC7eGNuUthaXhMjTTitRzTMdaxsxsT9l-VIFQIWxAYenm3PQ,200,Nautilus,UTILITY,BOTTOM,SUPPORT,1,10,12,,0.5652173913043478,0,0,3.6687553901701153,0.0923072059992274,6939,6150,8488,26717,2726,19,19,0,2828,0,204,10,10,0,423,0,0.0321226641910604,-713,0.6632720494190907,10662,-0.0347826086956521,1,0
KR_7589245963,1,evI0RjRt7-hJXtzPAwd_zPPmmZSf2RTeekQBHA1Lsxc0wmVtJ7087fU6wM_jhLKWZXNhEHpnH7n_Gg,100,Nasus,TOP,TOP,SOLO,4,3,8,,0.3428571428571428,3733,3733,0.5483355303826294,0.1777075615797025,10823,9600,17142,34771,2946,50,50,0,4454,0,-572,-24,-24,0,-22,-1,-0.116735878665249,-6999,-0.3046555842172749,1372,-0.1116883116883116,2,1
KR_7589245963,6,qscSl8tOIxsoj8O6BzsSL9xypFkFsHC8HlvUewb5XpU-6GqF3cGZwc8T_-hBIBgioqubW9hkUAT_nA,200,Jax,TOP,MIDDLE,SOLO,2,6,3,,0.4545454545454545,10732,10732,0.8529911145999043,0.2944434402449515,11068,11008,12581,33399,3518,74,74,0,4476,1,572,24,24,0,22,1,0.116735878665249,6999,0.3046555842172749,-1372,0.1116883116883116,-2,0
KR_7589245963,2,NkbWUqj4ajJhWTcnTqDZeLkQHO80nHGAVeQGuIlY9lIljLd1Idneo4GMsfZ8yCzfcGpLvti4c0dYMw,100,Zac,JUNGLE,JUNGLE,NONE,8,1,18,,0.7428571428571429,2016,2016,1.091864948446607,0.2209370861606284,13439,11825,16236,42892,4080,68,11,57,3569,0,1093,3,10,-7,349,0,0.069080082524303,2016,0.2040611345890752,15818,0.2883116883116884,6,1
KR_7589245963,7,53wIvDEtQL1tGoRRtaDyJ0l7pIGKSVp5u42rI553srNJkmUG2mnKkGDFZ7Rz2WvL65B89Md9vdVGaw,200,Naafiri,JUNGLE,JUNGLE,NONE,2,10,3,,0.4545454545454545,0,0,0.8878038138575317,0.1518570036363254,8553,8250,10989,27074,2987,65,1,64,3220,0,-1093,-3,-10,7,-349,0,-0.069080082524303,-2016,-0.2040611345890752,-15818,-0.2883116883116884,-6,0
KR_7589245963,3,FcgpDMb-nbwmj8-uG79CEdR-g9rPuAlpzzom9iceP3fJ1-AhGgG_4pj5ewoOWHQfYjcOtFncedpdpg,100,Tristana,MIDDLE,MIDDLE,SOLO,14,5,3,,0.4857142857142857,5247,5247,0.7246165893563672,0.2463504154885869,13167,11750,14898,22674,3995,79,79,0,4684,2,1051,7,7,0,441,2,-0.0311091702039601,-7,0.222235332856879,-2268,-0.0597402597402597,11,1
KR_7589245963,8,NOtp7tnoRFq8O9etgGMJ0ePYNwjwhVzTMBzkwFa7wO52VdsT3IcoXW9xIMr_DLgrPoJiJtEHvb7j9g,200,Sylas,MIDDLE,TOP,SOLO,3,5,3,,0.5454545454545454,5254,5254,0.5023812564994882,0.2774595856925471,11938,11225,14646,24942,2944,72,72,0,4243,0,-1051,-7,-7,0,-441,-2,0.0311091702039601,7,-0.222235332856879,2268,0.0597402597402597,-11,0
KR_7589245963,4,jyFZRALn9eg6Bp5pGPcojtEB-Zs7oQ395tC3rHaM7tkrkAN-zukX3KbiQjCMZR-bCfYDwLl37OGB0w,100,Ezreal,BOTTOM,BOTTOM,CARRY,5,2,8,,0.3714285714285714,12087,12087,0.9773288329188088,0.2304321320506475,12102,11858,13893,14522,3946,83,83,0,3418,0,825,9,9,0,122,0,0.1022080386632386,10687,0.6198577626845447,-1014,0.0077922077922077,3,1
KR_7589245963,9,VEDnoBPleeRArU0ej8BcHA-NutwBElQoAQElQ0U-F3j83NghcejEqeQabTgXBEMZQoJJKHJJiE9q5g,200,Kaisa,BOTTOM,BOTTOM,CARRY,2,3,2,,0.3636363636363636,1400,1400,0.3574710702342641,0.1282240933874089,9261,8550,11331,15536,3121,74,74,0,3296,0,-825,-9,-9,0,-122,0,-0.1022080386632386,-10687,-0.6198577626845447,1014,-0.0077922077922077,-3,0
KR_7589245963,5,gxKB54XJw953NRgbu-5vtjiDdnm1omLqAiKqG5IrSdT1GooB6D8bxqlPs75sdNMr6HirqAdRPC9V-w,100,FiddleSticks,UTILITY,BOTTOM,SUPPORT,4,1,19,,0.6571428571428571,1329,1329,4.196262497702988,0.1245728047204346,9944,9125,12283,12536,3094,15,15,0,2735,0,743,3,3,0,275,0,-0.0234430723183323,581,0.936354961688176,-9940,0.1116883116883117,2,1
